Basis#,Individual_Energy_in_Basis(%),Cummulative_Energy_in_Basis_upto_Current_Basis(%), Eigen_Values
202,1.65742e-09,100, 2.76262e-12
203,1.62745e-09,100, 2.71266e-12
204,1.58439e-09,100, 2.6409e-12
205,1.53303e-09,100, 2.55528e-12
206,1.4855e-09,100, 2.47606e-12
207,1.45321e-09,100, 2.42224e-12
208,1.4255e-09,100, 2.37605e-12
209,1.40326e-09,100, 2.33897e-12
210,1.39598e-09,100, 2.32685e-12
211,1.34278e-09,100, 2.23817e-12
212,1.32939e-09,100, 2.21585e-12
213,1.287e-09,100, 2.1452e-12
214,1.26593e-09,100, 2.11007e-12
215,1.25442e-09,100, 2.09088e-12
216,1.23358e-09,100, 2.05615e-12
217,1.21738e-09,100, 2.02916e-12
218,1.19105e-09,100, 1.98526e-12
219,1.16557e-09,100, 1.94279e-12
220,1.15676e-09,100, 1.92811e-12
221,1.12818e-09,100, 1.88048e-12
222,1.11872e-09,100, 1.8647e-12
223,1.10331e-09,100, 1.83901e-12
224,1.08467e-09,100, 1.80795e-12
225,1.07663e-09,100, 1.79455e-12
226,1.04985e-09,100, 1.74992e-12
227,1.04062e-09,100, 1.73453e-12
228,1.03549e-09,100, 1.72597e-12
229,1.02539e-09,100, 1.70914e-12
230,1.00972e-09,100, 1.68302e-12
231,9.87233e-10,100, 1.64554e-12
232,9.81804e-10,100, 1.63649e-12
233,9.55505e-10,100, 1.59265e-12
234,9.44608e-10,100, 1.57449e-12
235,9.15434e-10,100, 1.52586e-12
236,9.08674e-10,100, 1.5146e-12
237,9.07564e-10,100, 1.51274e-12
238,8.81871e-10,100, 1.46992e-12
239,8.63485e-10,100, 1.43927e-12
240,8.56447e-10,100, 1.42754e-12
241,8.3471e-10,100, 1.39131e-12
242,8.29481e-10,100, 1.38259e-12
243,8.22105e-10,100, 1.3703e-12
244,7.89628e-10,100, 1.31617e-12
245,7.77863e-10,100, 1.29656e-12
246,7.64581e-10,100, 1.27442e-12
247,7.53855e-10,100, 1.25654e-12
248,7.32949e-10,100, 1.22169e-12
249,7.14481e-10,100, 1.19091e-12
250,6.97268e-10,100, 1.16222e-12
251,6.89132e-10,100, 1.14866e-12
252,6.78898e-10,100, 1.1316e-12
253,6.59719e-10,100, 1.09963e-12
254,6.25169e-10,100, 1.04204e-12
255,6.16114e-10,100, 1.02695e-12
256,6.06719e-10,100, 1.01129e-12
257,5.47263e-10,100, 9.12189e-13
258,5.31815e-10,100, 8.86439e-13
259,4.28725e-10,100, 7.14606e-13
260,3.91262e-10,100, 6.52163e-13
261,3.49014e-10,100, 5.81742e-13
262,2.92565e-10,100, 4.87652e-13
263,2.59208e-10,100, 4.32053e-13
264,2.28883e-10,100, 3.81507e-13
265,1.99408e-10,100, 3.32376e-13
266,1.64211e-10,100, 2.7371e-13
267,1.55415e-10,100, 2.59048e-13
268,1.41675e-10,100, 2.36146e-13
269,1.25447e-10,100, 2.09098e-13
270,1.15757e-10,100, 1.92947e-13
271,1.10259e-10,100, 1.83781e-13
272,1.00683e-10,100, 1.67821e-13
273,9.40168e-11,100, 1.56709e-13
274,8.90683e-11,100, 1.48461e-13
275,7.90375e-11,100, 1.31741e-13
276,7.42828e-11,100, 1.23816e-13
277,7.11659e-11,100, 1.18621e-13
278,6.61347e-11,100, 1.10235e-13
279,5.42459e-11,100, 9.04181e-14
280,5.21394e-11,100, 8.6907e-14
281,4.66161e-11,100, 7.77007e-14
282,4.41172e-11,100, 7.35354e-14
283,3.91589e-11,100, 6.52709e-14
284,3.43545e-11,100, 5.72628e-14
285,3.26725e-11,100, 5.44591e-14
286,3.00888e-11,100, 5.01526e-14
287,2.86961e-11,100, 4.78311e-14
288,2.79803e-11,100, 4.66381e-14
289,2.51686e-11,100, 4.19514e-14
290,2.44202e-11,100, 4.0704e-14
291,2.38504e-11,100, 3.97542e-14
292,2.36062e-11,100, 3.93473e-14
293,2.28161e-11,100, 3.80303e-14
294,2.20107e-11,100, 3.66878e-14
295,2.07869e-11,100, 3.4648e-14
296,2.01469e-11,100, 3.35813e-14
297,1.82444e-11,100, 3.041e-14
298,1.6662e-11,100, 2.77726e-14
299,1.51705e-11,100, 2.52865e-14
300,1.32215e-11,100, 2.20379e-14
301,1.31154e-11,100, 2.1861e-14
